item_id,name
8377090,keyword
8332638,ants
8332638,animal behaviour
8332638,Animal Behaviour
8327074,animal behaviour
8327074,Behavioural Ecology
8324958,ants
8324958,"Agricultural Hydrology (Drainage, Flooding, Irrigation, Quality, etc.)"
8313960,myers briggs
8313960,"Personality, Abilities and Assessment"
8313958,myers briggs
8313958,Organizational Behavioral Psychology
8313956,myers briggs
8313956,Organisational Behaviour
8283932,data fidelity
8283932,"Agricultural Hydrology (Drainage, Flooding, Irrigation, Quality, etc.)"
8271566,Photographs
8271566,Performing Arts
8250362,astronomy
8250362,keyword
8250362,Stellar Astronomy
8250360,astronomy
8250360,keyword
8250360,Stellar Astronomy
8250358,astronomy
8250358,keyword
8250358,Stellar Astronomy
8250356,Astrophysics
8250356,Astronomical and Space Instrumentation
8245261,readme
8245261,data fidelity
8245261,Environmental Marine Biotechnology
8242835,library
8242835,Performing Arts
8205535,transport data
8205535,transport activity
8205535,Transport Engineering
8205483,laser guidance system
8205483,Transport Engineering
8196083,Keyword
8196083,Astronomical and Space Instrumentation
8194499,data acquisition approaches
8194499,Library and Information Studies
8149050,Test .xls supplemental
8149050,Cell Neurochemistry
8149046,keyword
8149046,Animal Breeding
8120018,Open Data Means Better Science
8120018,open data
8120018,Applied Computer Science
8119798,Keyword
8119798,Astronomical and Space Sciences not elsewhere classified
8112610,conservation actions practitioners
8112610,Conservation and Biodiversity
8112570,biodiversity and ecosystem function
8112570,Conservation and Biodiversity
8109078,biodiversity and ecosystem functioning
8109078,Conservation and Biodiversity
8109076,ecosystem
8109076,biodiversity and ecosystem functioning
8109076,Conservation and Biodiversity
8075655,Test .xls supplemental
8075655,Cell Neurochemistry
8075653,keyword
8075653,Animal Breeding
8064389,communication behaviors
8064389,Communication Studies
8060569,radiation accident
8060569,Atmospheric Radiation
8053828,"Carson, Anne, 1950- --Autobiography of red"
8053828,"Ondaatje, Michael, 1943- --The collected works of Billy the Kid."
8053828,Textual hybridity
8053828,English and American Literatures
8053828,Biological Sciences not elsewhere classified
8010920,open data
8010920,state of open data
8010920,Computer Software
8004762,Trees
8004762,pests
8004762,arboreal pollen
8004762,"Forestry Pests, Health and Diseases"
7938277,tb
7938277,Medicine
7907080,astronomy
7907080,keyword
7907080,Stellar Astronomy
7847550,spiders
7847550,Biologically Active Molecules
7658738,Keyword
7658738,Architecture not elsewhere classified
7515390,galaxy evolution
7515390,Galactic Astronomy
7515390,Stellar Astronomy
7515388,Mars exploration
7515388,Planetary Science
7515388,Planetary Science (excl. Extraterrestrial Geology)
7515376,Mars exploration
7515376,Planetary Science
7515376,Planetary Science (excl. Extraterrestrial Geology)
7505238,lunar image
7505238,Space Science
7341492,Keyword
7341492,keyword association frameworks
7341492,Animal Behaviour
7334522,Keyword
7334522,Animal Behaviour
7334522,Evolutionary Biology
7191180,RDM
7191180,Animal Neurobiology
7183908,Survey
7183908,Medical Virology
7183896,Validation
7183896,Medical and Health Sciences not elsewhere classified
7183894,venom
7183894,Animal Neurobiology
7183888,snake venom
7183888,venom
7183888,Medical Biochemistry: Proteins and Peptides (incl. Medical Proteomics)
7183886,research activity
7183886,Biochemistry
7124066,astronomy
7124066,radio telescope
7124066,keyword1
7124066,Astrophysics
7039568,fibre diameter data
7039568,Key Biomarkers
7039568,Key ABM Parameters
7039568,Wood Fibre Processing
7017310,Keyword
7017310,Biomarkers
7017068,Keyword
7017068,Anesthesiology
6969378,stock levels
6969378,Key ABM Parameters
6969378,Agricultural Land Planning
6969378,Biochemistry
6968984,keyword1
6968984,Animal Neurobiology
6968976,keyword1
6968976,Biologically Active Molecules
6965540,light defraction
6965540,Colloid and Surface Chemistry
6954642,georeferenced
6954642,Cinema Studies
5794944,template
5794944,department tools
5794944,another keyword
5794944,Biochemistry
5794944,Electrochemistry
5752309,astrocyte glutamate release
5752309,Astrobiology
5752309,Biotechnology
5738375,Adventure
5738375,comedy
5738375,drama
5738375,Sam Neil
5738375,Creative Writing (incl. Playwriting)
5738375,Performing Arts and Creative Writing not elsewhere classified
5738373,camouflage methods
5738373,chemical biascolor change
5738373,electro
5738373,Mechanical Chameleon
5738373,Biophysics
5738373,Microbiology
5738373,Genetics
5738371,Tooth
5738371,Skeletonw
5738371,Paleontology
5738371,Paleontology
5738369,Music archive of Monash University
5738369,Shadow puppet
5738369,Indonesian puppet
5738369,Nobility
5738369,Wayang Kulit
5738369,Digital Humanities
5738369,Performing Arts
5738369,Ethnic Studies
5738367,Library annual report
5738367,infographics
5738367,technology
5738367,communication
5738367,library
5738367,Higher Education
5738367,Library and Information Studies
5738365,biodiversity gains
5738365,functional traits
5738365,biogeography
5738365,connectivity
5738365,Terrestrial Ecology
5738361,kinesin-1
5738361,microtubules
5738361,gliding motility assay
5738361,casein
5738361,Biophysics
5738359,astronomy
5738359,Astrophysics
5738359,Galactic Astronomy
5738359,Stellar Astronomy
5735939,Astrophysics
5735939,Astrobiology
5735939,Astronomical and Space Instrumentation
