id,views,downloads,shares
13649693,312,131,0
15159393,233,96,0
7586939,800,675,0
13315283,310,92,0
15261711,181,43,0
18054776,86,51,0
13331405,315,0,0
12980831,472,213,0
13346609,409,224,0
20076200,24,9,0
14452587,889,214,0
19701715,299,484,0
19105496,205,237,0
16823335,166,93,0
13464497,98,0,0
13323155,436,0,0
13611491,295,158,0
12793466,171,373,0
20076263,26,10,0
12502283,662,768,0
12476171,340,124,0
13082684,874,458,0
12504134,386,481,0
19288376,100,881,0
13277813,1065,497,0
16968478,504,519,0
20191112,15,5,0
12731144,1262,343,0
19701799,154,78,0
13433360,131,0,0
16861954,152,102,0
13439963,103,0,0
7016126,769,463,0
20288994,14,0,0
12476177,325,128,0
18054395,84,74,0
13293827,937,349,0
17169089,2311,566,0
18047966,106,86,0
13143212,800,290,0
13459013,140,0,0
20064761,36,18,0
13450085,122,0,0
13345196,769,227,0
18046424,88,78,0
16924351,113,92,0
16416801,101,89,0
13157720,1118,279,0
13653149,1304,228,0
13647926,303,208,0
19686468,119,22,0
14120567,425,295,0
7723232,775,421,0
18048578,101,93,0
13416926,168,82,0
13653143,140,111,0
13452692,159,124,0
16632754,133,45,0
16924396,95,98,0
13647860,863,234,0
13647938,473,238,0
7070297,1077,1044,0
17118662,283,127,0
12618989,908,5,0
13244834,763,251,0
7016129,1080,456,1
13693678,1841,454,5
13446668,151,0,0
13444775,192,0,0
13446647,133,0,0
13450031,193,0,0
13457465,121,187,0
17035850,378,119,0
13441124,106,129,0
19372769,151,40,0
13437107,147,113,0
7464827,795,132,0
13438565,127,936,0
13446653,129,0,0
18040811,91,53,0
12870686,693,366,16
13393844,125,0,0
16918951,70,73,0
13461527,214,230,0
13438154,202,0,0
13463942,115,170,0
13395776,306,331,0
16919080,99,144,0
13457444,137,279,0
13437113,116,83,0
13465505,104,135,0
16783768,96,141,0
13393859,200,0,0
13463972,116,210,0
13441085,45,79,0
19635138,79,22,0
13402817,106,0,0
14769897,597,161,0
12732020,452,20,0
9958763,2929,695,73
14286167,353,77,8
14821791,369,152,0
6948893,697,358,2
14603280,535,135,0
14900208,273,104,0
11608440,2279,624,3
14428805,208,112,0
6233594,1513,508,9
13026827,643,231,9
14560761,258,211,1
13101491,1566,684,15
12497396,2386,528,3
19027958,151,21,0
16628989,149,60,0
16782985,83,21,0
14428769,170,64,0
19679769,303,73,0
12440513,407,85,0
13289318,276,103,0
12792476,1056,361,0
14237225,122,156,0
14562324,214,121,0
14428790,134,90,0
6442874,628,286,0
17193356,276,158,0
14723685,2666,186,1
14428787,110,79,0
3979575,1471,360,0
12444548,3185,480,13
14825604,372,145,0
12441917,1241,159,0
17124230,68,61,0
17124254,75,91,0
18055703,71,86,0
17124281,88,46,0
18056252,69,79,0
18038660,72,62,0
12931883,1025,395,0
17124218,68,46,0
17124200,77,50,0
18055355,93,83,0
16783819,94,152,0
19690432,482,21,0
18039560,75,72,0
13525343,1124,528,0
13393430,867,1044,0
15183453,110,100,0
14265239,758,208,0
16960684,142,7,0
16955287,157,97,0
10770080,1272,347,0
16964788,112,133,0
16930006,208,46,0
13293812,628,0,0
13463993,121,0,0
13393604,104,0,0
10798769,679,479,0
16960705,171,10,0
16959025,155,5,0
16954909,121,164,0
16962358,140,75,0
10769726,767,270,0
19614069,45,27,0
19614057,59,25,0
19614012,77,40,0
19614054,52,28,0
19614048,45,56,0
19614039,37,41,0
19614015,41,31,0
19614021,55,53,0
19614033,93,46,0
19614030,48,42,0
19586770,53,48,0
19614018,52,45,0
19304123,70,0,0
20113526,100,8,0
19614078,49,51,0
19614075,48,60,0
19586767,52,38,0
19614027,49,39,0
19614009,53,29,0
19614036,46,34,0
19614066,42,41,0
19614063,46,33,0
19614072,46,31,0
19614051,63,44,0
19614060,40,43,0
19976126,44,6,0
19614024,64,31,0
19614045,63,39,0
12326300,721,220,1
5630977,612,244,0
12831023,442,54,0
6444467,952,269,5
11912070,445,67,0
12830999,341,91,0
13686208,427,205,13
7591757,570,280,0
6948920,735,285,0
12831011,391,107,0
14268119,571,195,16
19522141,72,38,0
19519975,123,64,0
4060332,962,446,0
4060383,946,508,0
4060386,896,261,0
4060176,1300,402,0
4060389,838,224,0
4060380,1255,374,0
4060392,1072,361,0
17193167,332,133,0
19395581,216,48,0
19395350,314,54,0
19137902,1755,1027,0
19407215,26,0,0
14616969,889,106,0
18634961,8321,5189,0
16946011,205,108,0
14597814,13492,5314,2
14141510,408,161,0
17122043,195,56,0
13012406,2524,1073,199
14999127,125,62,0
14386805,144,98,0
16586417,304,109,0
17086616,2388,617,0
